ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta,CAR
PYPL,SCHULMAN DANIEL H,"Director,Officer",2022-02-03,P,7694.0,124.55,958287.7,-0.002709463814963,1.6215203937886131,-0.26329551974782484
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,10100.0,934.12,9434612.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,400.0,907.58,363032.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,700.0,908.81,636167.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,699.0,911.26,636970.74,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,1901.0,912.28,1734244.28,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,800.0,913.4,730720.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,3156.0,914.49,2886130.44,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,1024.0,915.51,937482.24,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,1020.0,916.55,934881.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,400.0,917.35,366940.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,700.0,918.91,643237.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,400.0,906.29,362516.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,300.0,932.85,279855.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,200.0,931.66,186332.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
TSLA,DENHOLM ROBYN M,Director,2022-02-01,S,400.0,919.73,367892.0,-0.0006075682757842,1.775063877472258,-0.033471522845915945
