Date,AAPL,ADBE,AMZN,BAC,BRK-B,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ
2021-09-07,152.83090209960938,661.3900146484375,175.46449279785156,36.74570083618164,278.8999938964844,178.7292938232422,143.01239013671875,291.9330139160156,150.60191345214844,140.48793029785156,334.66363525390625,378.8530578613281,288.6332702636719,22.587867736816406,126.21049499511719,290.7420349121094,250.97332763671875,385.8585205078125,217.8584442138672,39.96297073364258
2021-09-08,151.289794921875,663.219970703125,176.27499389648438,36.265480041503906,279.3399963378906,179.51461791992188,142.4280548095703,294.2669982910156,150.2348175048828,139.8614044189453,340.8092346191406,374.2831726074219,288.662109375,22.26592254638672,127.16910552978516,282.7809753417969,251.2899932861328,380.4999694824219,220.5735626220703,40.02857208251953
2021-09-09,150.27545166015625,661.6799926757812,174.20799255371094,36.39886474609375,278.6099853515625,180.25149536132812,142.27935791015625,294.4356689453125,146.8875274658203,140.4702606201172,341.1684265136719,374.7095031738281,285.8159484863281,22.104454040527344,126.63265991210938,284.41680908203125,251.6199951171875,379.7304382324219,219.0330352783203,39.685951232910156
2021-09-10,145.30104064941406,658.9400024414062,173.45750427246094,35.811946868896484,277.6000061035156,178.51597595214844,139.63780212402344,294.59539794921875,145.92616271972656,138.85543823242188,337.265625,375.39349365234375,284.335205078125,22.404464721679688,126.75578308105469,281.8787841796875,245.42333984375,371.2828063964844,216.5489959716797,39.53286361694336
2021-09-13,145.8667449951172,645.1500244140625,172.85850524902344,36.407752990722656,279.9200134277344,179.34979248046875,141.08151245117188,297.7016296386719,144.9036407470703,141.06149291992188,337.6830139160156,373.232421875,285.5659484863281,22.07953643798828,128.118896484375,278.0816650390625,247.6666717529297,381.0357971191406,216.27940368652344,39.817176818847656
2021-09-14,144.47198486328125,645.010009765625,172.5,35.42953872680664,277.20001220703125,176.84832763671875,141.2916259765625,295.6337890625,144.02964782714844,138.59954833984375,335.7218933105469,373.25225830078125,288.25823974609375,22.169240951538086,127.8990249633789,279.816650390625,248.163330078125,379.2156982421875,214.7388916015625,39.66408920288086
2021-09-15,145.35952758789062,661.0800170898438,173.7895050048828,35.69632339477539,278.17999267578125,178.79713439941406,143.1600799560547,295.85565185546875,144.57151794433594,139.56138610839844,334.70245361328125,370.66497802734375,293.09478759765625,22.267913818359375,127.62642669677734,280.0050048828125,251.94332885742188,383.7933654785156,215.4898681640625,39.780723571777344
2021-09-16,145.1254425048828,665.1099853515625,174.41200256347656,35.972015380859375,277.510009765625,177.7597198486328,142.3477783203125,298.53582763671875,144.396728515625,139.49961853027344,336.21710205078125,369.8124694824219,293.4794616699219,22.169240951538086,126.7381591796875,280.5404052734375,252.3300018310547,383.1683654785156,215.9905242919922,39.67866134643555
2021-09-17,142.46270751953125,654.47998046875,173.12600708007812,36.0164794921875,276.760009765625,177.88575744628906,139.56243896484375,297.8968505859375,143.9859619140625,139.13778686523438,333.0423889160156,361.54510498046875,288.3351135253906,21.828359603881836,126.9404296875,273.9673156738281,253.163330078125,386.2202453613281,213.5064697265625,39.56932067871094
2021-09-20,139.4195098876953,641.2899780273438,167.7864990234375,34.780357360839844,274.20001220703125,173.1736602783203,137.50027465820312,293.938720703125,143.16441345214844,134.97286987304688,329.7900390625,352.6036376953125,282.9794616699219,21.043935775756836,125.66522979736328,267.5925598144531,243.38999938964844,379.3627624511719,211.86964416503906,39.55473327636719
2021-09-21,139.8975067138672,645.8900146484375,167.18150329589844,34.79814910888672,273.17999267578125,165.96014404296875,137.81100463867188,296.61004638671875,143.793701171875,134.99050903320312,327.54730224609375,354.36810302734375,283.460205078125,21.17650032043457,125.85872650146484,267.1761169433594,246.4600067138672,379.0318298339844,211.98519897460938,39.3870735168457
2021-09-22,142.25790405273438,626.0800170898438,169.00250244140625,35.69632339477539,274.07000732421875,168.36465454101562,139.05050659179688,298.12750244140625,143.26930236816406,137.5760040283203,333.40155029296875,340.2223205566406,287.0947570800781,21.86922836303711,126.28968048095703,270.00164794921875,250.64666748046875,375.6859130859375,214.46925354003906,39.408935546875
2021-09-23,143.21376037597656,630.8400268554688,170.8000030517578,37.07474136352539,278.1199951171875,170.88551330566406,139.9748077392578,298.1098327636719,144.0821075439453,142.2262420654297,343.7509765625,342.9483337402344,288.03704833984375,22.40845489501953,126.80852508544922,276.70361328125,251.2133331298828,375.0700378417969,219.82260131835938,39.67137145996094
2021-09-24,143.30154418945312,622.7100219726562,171.2760009765625,37.47492980957031,277.8699951171875,170.64312744140625,140.96502685546875,299.5119934082031,143.64512634277344,143.8675537109375,347.7217712402344,349.8874206542969,287.835205078125,22.008764266967773,126.24565887451172,275.72210693359375,258.1300048828125,374.1967468261719,222.9806365966797,39.63492202758789
2021-09-27,141.78968811035156,603.6500244140625,170.2899932861328,38.47093200683594,279.7200012207031,172.83433532714844,139.83209228515625,302.99090576171875,142.60511779785156,147.34420776367188,346.3721618652344,350.50201416015625,282.8545227050781,21.589149475097656,124.58351135253906,271.0426330566406,263.78668212890625,372.53289794921875,221.06459045410156,39.707820892333984
